DESCRIÇÃO,UNIDADE,UF,Preço.Entregue,Preço.Final,REF,PEI,Região
Pedreiro - mensalista,mês,MT,1950.0,1950.0,202201,MDO,Centro-Oeste
Pedreiro,h,MT,8.8636,8.8636,202201,MDO,Centro-Oeste
Carpinteiro,h,MT,8.8636,8.8636,202201,MDO,Centro-Oeste
Servente,h,AM,6.49,6.49,202201,MDO,Norte
Servente com periculosidade,h,AM,6.49,6.49,202201,MDO,Norte
Servente - mensalista,mês,AM,1427.8,1427.8,202201,MDO,Norte
Carpinteiro,h,AM,8.53,8.53,202201,MDO,Norte
Pedreiro,h,AM,8.53,8.53,202201,MDO,Norte
Operador de equipamento leve,h,AM,8.53,8.53,202201,MDO,Norte
Operador de equipamento leve com periculosidade,h,AM,8.53,8.53,202201,MDO,Norte
Operador de equipamento leve com insalubridade,h,AM,8.53,8.53,202201,MDO,Norte
Pedreiro - mensalista,mês,AM,1876.6,1876.6,202201,MDO,Norte
Encarregado de turma,mês,AM,2602.6,2602.6,202201,MDO,Norte
Servente,h,MT,6.1364,6.1364,202201,MDO,Centro-Oeste
Servente com periculosidade,h,MT,6.1364,6.1364,202201,MDO,Centro-Oeste
Servente - mensalista,mês,MT,1350.0,1350.0,202201,MDO,Centro-Oeste
Servente,h,SE,5.5091,5.5091,202201,MDO,Nordestes
Trabalhador de via,h,SE,5.5091,5.5091,202201,MDO,Nordestes
Servente com periculosidade,h,SE,5.5091,5.5091,202201,MDO,Nordestes
Engenheiro auxiliar,mês,AC,10302.0,10302.0,202201,MDO,Norte
Engenheiro auxiliar,mês,AL,10302.0,10302.0,202201,MDO,Nordestes
Engenheiro auxiliar,mês,AM,10302.0,10302.0,202201,MDO,Norte
Engenheiro auxiliar,mês,AP,10302.0,10302.0,202201,MDO,Norte
Engenheiro auxiliar,mês,BA,10302.0,10302.0,202201,MDO,Nordestes
Engenheiro auxiliar,mês,CE,10302.0,10302.0,202201,MDO,Nordestes
Engenheiro auxiliar,mês,DF,10302.0,10302.0,202201,MDO,Centro-Oeste
Engenheiro auxiliar,mês,ES,10302.0,10302.0,202201,MDO,Sudeste
Engenheiro auxiliar,mês,GO,10302.0,10302.0,202201,MDO,Centro-Oeste
Engenheiro auxiliar,mês,MA,10302.0,10302.0,202201,MDO,Nordestes
Engenheiro auxiliar,mês,MG,10302.0,10302.0,202201,MDO,Sudeste
Engenheiro auxiliar,mês,MS,10302.0,10302.0,202201,MDO,Centro-Oeste
Engenheiro auxiliar,mês,MT,10302.0,10302.0,202201,MDO,Centro-Oeste
Engenheiro auxiliar,mês,PA,10302.0,10302.0,202201,MDO,Norte
Engenheiro auxiliar,mês,PB,10302.0,10302.0,202201,MDO,Nordestes
Engenheiro auxiliar,mês,PE,10302.0,10302.0,202201,MDO,Nordestes
Engenheiro auxiliar,mês,PI,10302.0,10302.0,202201,MDO,Nordestes
Engenheiro auxiliar,mês,PR,10302.0,10302.0,202201,MDO,Sul
Engenheiro auxiliar,mês,RJ,10302.0,10302.0,202201,MDO,Sudeste
Engenheiro auxiliar,mês,RN,10302.0,10302.0,202201,MDO,Nordestes
Engenheiro auxiliar,mês,RO,10302.0,10302.0,202201,MDO,Norte
Engenheiro auxiliar,mês,RR,10302.0,10302.0,202201,MDO,Norte
Engenheiro auxiliar,mês,RS,10302.0,10302.0,202201,MDO,Sul
Engenheiro auxiliar,mês,SC,10302.0,10302.0,202201,MDO,Sul
Engenheiro auxiliar,mês,SE,10302.0,10302.0,202201,MDO,Nordestes
Engenheiro auxiliar,mês,SP,10302.0,10302.0,202201,MDO,Sudeste
Engenheiro auxiliar,mês,TO,10302.0,10302.0,202201,MDO,Norte
Servente - mensalista,mês,SE,1212.0,1212.0,202201,MDO,Nordestes
Vigia,mês,AM,1427.8,1427.8,202201,MDO,Norte
Vigia,mês,AC,1212.0,1212.0,202201,MDO,Norte
Armador,h,AC,8.53,8.53,202201,MDO,Norte
Armador,h,AM,8.53,8.53,202201,MDO,Norte
Armador,h,AP,8.53,8.53,202201,MDO,Norte
Armador,h,PA,8.53,8.53,202201,MDO,Norte
Armador,h,RO,8.53,8.53,202201,MDO,Norte
Armador,h,RR,8.53,8.53,202201,MDO,Norte
Armador,h,TO,8.53,8.53,202201,MDO,Norte
Pintor,h,AC,8.53,8.53,202201,MDO,Norte
Pintor,h,AM,8.53,8.53,202201,MDO,Norte
Pintor,h,AP,8.53,8.53,202201,MDO,Norte
Pintor,h,PA,8.53,8.53,202201,MDO,Norte
Pintor,h,RO,8.53,8.53,202201,MDO,Norte
Pintor,h,RR,8.53,8.53,202201,MDO,Norte
Pintor,h,TO,8.53,8.53,202201,MDO,Norte
Serralheiro,h,AC,8.53,8.53,202201,MDO,Norte
Serralheiro,h,AM,8.53,8.53,202201,MDO,Norte
Serralheiro,h,AP,8.53,8.53,202201,MDO,Norte
Serralheiro,h,PA,8.53,8.53,202201,MDO,Norte
Serralheiro,h,RO,8.53,8.53,202201,MDO,Norte
Serralheiro,h,RR,8.53,8.53,202201,MDO,Norte
Serralheiro,h,TO,8.53,8.53,202201,MDO,Norte
Ajudante,h,SE,5.5091,5.5091,202201,MDO,Nordestes
Pré-marcador,h,SE,5.5091,5.5091,202201,MDO,Nordestes
Selecionador de material pétreo,h,SE,5.5091,5.5091,202201,MDO,Nordestes
Vigia,mês,ES,1212.0,1212.0,202201,MDO,Sudeste
Vigia,mês,RR,1212.0,1212.0,202201,MDO,Norte
Eletricista,h,AM,8.53,8.53,202201,MDO,Norte
Eletricista com periculosidade,h,AM,8.53,8.53,202201,MDO,Norte
Eletricista - mensalista,mês,AM,1876.6,1876.6,202201,MDO,Norte
Servente - mensalista,mês,TO,1212.0,1212.0,202201,MDO,Norte
Servente,h,TO,5.5091,5.5091,202201,MDO,Norte
Trabalhador de via,h,TO,5.5091,5.5091,202201,MDO,Norte
Servente com periculosidade,h,TO,5.5091,5.5091,202201,MDO,Norte
Eletricista - mensalista,mês,MT,1950.0,1950.0,202201,MDO,Centro-Oeste
Eletricista,h,MT,8.8636,8.8636,202201,MDO,Centro-Oeste
Eletricista com periculosidade,h,MT,8.8636,8.8636,202201,MDO,Centro-Oeste
Perfurador de tubulão a ar comprimido com insalubridade,h,SE,5.5091,5.5091,202201,MDO,Nordestes
Perfurador de tubulão,h,SE,5.5091,5.5091,202201,MDO,Nordestes
Servente - mensalista,mês,AL,1212.0,1212.0,202201,MDO,Nordestes
Servente,h,AL,5.5091,5.5091,202201,MDO,Nordestes
Trabalhador de via,h,AL,5.5091,5.5091,202201,MDO,Nordestes
Servente com periculosidade,h,AL,5.5091,5.5091,202201,MDO,Nordestes
Vigia,mês,SE,1212.0,1212.0,202201,MDO,Nordestes
Encarregado especializado,mês,AC,2733.72,2733.72,202201,MDO,Norte
Encarregado de obras de artes especiais,mês,AC,2733.72,2733.72,202201,MDO,Norte
Encarregado de terraplenagem,mês,AC,2733.72,2733.72,202201,MDO,Norte
Encarregado de pavimentação,mês,AC,2733.72,2733.72,202201,MDO,Norte
Encarregado de superestrutura ferroviária,mês,AC,2733.72,2733.72,202201,MDO,Norte
Encarregado de conservação rodoviária,mês,AC,2733.72,2733.72,202201,MDO,Norte
Faxineiro,mês,AC,1427.8,1427.8,202201,MDO,Norte
Faxineiro,mês,AM,1427.8,1427.8,202201,MDO,Norte
Faxineiro,mês,AP,1427.8,1427.8,202201,MDO,Norte
Faxineiro,mês,PA,1427.8,1427.8,202201,MDO,Norte
Faxineiro,mês,RO,1427.8,1427.8,202201,MDO,Norte
Faxineiro,mês,RR,1427.8,1427.8,202201,MDO,Norte
Faxineiro,mês,TO,1427.8,1427.8,202201,MDO,Norte
Servente,h,MG,5.84,5.84,202201,MDO,Sudeste
Trabalhador de via,h,MG,5.84,5.84,202201,MDO,Sudeste
Servente com periculosidade,h,MG,5.84,5.84,202201,MDO,Sudeste
Servente - mensalista,mês,MG,1284.8,1284.8,202201,MDO,Sudeste
Vigia,mês,MG,1284.8,1284.8,202201,MDO,Sudeste
Trabalhador de via,h,PI,5.5091,5.5091,202201,MDO,Nordestes
Trabalhador de via,h,AP,5.5091,5.5091,202201,MDO,Norte
Auxiliar de topografia,mês,AC,1524.6,1524.6,202201,MDO,Norte
Auxiliar de topografia,mês,AM,1524.6,1524.6,202201,MDO,Norte
Auxiliar de topografia,mês,AP,1524.6,1524.6,202201,MDO,Norte
Auxiliar de topografia,mês,PA,1524.6,1524.6,202201,MDO,Norte
Auxiliar de topografia,mês,RO,1524.6,1524.6,202201,MDO,Norte
Auxiliar de topografia,mês,RR,1524.6,1524.6,202201,MDO,Norte
Auxiliar de topografia,mês,TO,1524.6,1524.6,202201,MDO,Norte
Motorista de caminhão,h,AM,9.49,9.49,202201,MDO,Norte
Motorista de caminhão com periculosidade,h,AM,9.49,9.49,202201,MDO,Norte
Carpinteiro,h,SE,7.5011,7.5011,202201,MDO,Nordestes
Pedreiro,h,SE,7.5011,7.5011,202201,MDO,Nordestes
Pedreiro - mensalista,mês,SE,1650.24,1650.24,202201,MDO,Nordestes
Serralheiro,h,AL,8.4026,8.4026,202201,MDO,Nordestes
Serralheiro,h,BA,8.4026,8.4026,202201,MDO,Nordestes
Serralheiro,h,CE,8.4026,8.4026,202201,MDO,Nordestes
Serralheiro,h,MA,8.4026,8.4026,202201,MDO,Nordestes
Serralheiro,h,PB,8.4026,8.4026,202201,MDO,Nordestes
Serralheiro,h,PE,8.4026,8.4026,202201,MDO,Nordestes
Serralheiro,h,PI,8.4026,8.4026,202201,MDO,Nordestes
Serralheiro,h,RN,8.4026,8.4026,202201,MDO,Nordestes
Serralheiro,h,SE,8.4026,8.4026,202201,MDO,Nordestes
Frentista de túnel,h,SE,6.4331,6.4331,202201,MDO,Nordestes
Frentista de túnel com periculosidade,h,SE,6.4331,6.4331,202201,MDO,Nordestes
Servente - mensalista,mês,CE,1212.0,1212.0,202201,MDO,Nordestes
Servente,h,CE,5.5091,5.5091,202201,MDO,Nordestes
Trabalhador de via,h,CE,5.5091,5.5091,202201,MDO,Nordestes
Servente com periculosidade,h,CE,5.5091,5.5091,202201,MDO,Nordestes
Servente,h,RJ,7.74,7.74,202201,MDO,Sudeste
Servente com periculosidade,h,RJ,7.74,7.74,202201,MDO,Sudeste
Servente - mensalista,mês,RJ,1702.8,1702.8,202201,MDO,Sudeste
Almoxarife,mês,ES,2492.6,2492.6,202201,MDO,Sudeste
Almoxarife,mês,MG,2492.6,2492.6,202201,MDO,Sudeste
Almoxarife,mês,RJ,2492.6,2492.6,202201,MDO,Sudeste
Almoxarife,mês,SP,2492.6,2492.6,202201,MDO,Sudeste
Montador,h,ES,11.33,11.33,202201,MDO,Sudeste
Montador,h,MG,11.33,11.33,202201,MDO,Sudeste
Montador,h,RJ,11.33,11.33,202201,MDO,Sudeste
Montador,h,SP,11.33,11.33,202201,MDO,Sudeste
Operador de equipamento leve,h,RJ,11.33,11.33,202201,MDO,Sudeste
Operador de equipamento leve com periculosidade,h,RJ,11.33,11.33,202201,MDO,Sudeste
Operador de equipamento leve com insalubridade,h,RJ,11.33,11.33,202201,MDO,Sudeste
Soldador,h,ES,13.99,13.99,202201,MDO,Sudeste
Soldador,h,MG,13.99,13.99,202201,MDO,Sudeste
Soldador,h,RJ,13.99,13.99,202201,MDO,Sudeste
Soldador,h,SP,13.99,13.99,202201,MDO,Sudeste
Vigia,mês,RJ,1788.6,1788.6,202201,MDO,Sudeste
Apontador,mês,RJ,2303.4,2303.4,202201,MDO,Sudeste
Armador,h,ES,10.47,10.47,202201,MDO,Sudeste
Armador,h,MG,10.47,10.47,202201,MDO,Sudeste
Armador,h,RJ,10.47,10.47,202201,MDO,Sudeste
Armador,h,SP,10.47,10.47,202201,MDO,Sudeste
Auxiliar administrativo,mês,RJ,2303.4,2303.4,202201,MDO,Sudeste
Carpinteiro,h,RJ,10.47,10.47,202201,MDO,Sudeste
Eletricista,h,RJ,10.47,10.47,202201,MDO,Sudeste
